Year,Semester,Course Code,key,Credits,L,T,P,Slot,Name,Instructor
2025-26,1,AMD895,1AMD895,40,0.0,0.0,80.0,X,MAJOR PROJECT-AMD895,ARJUN SHARMA
2025-26,1,AMD899,1AMD899,10,0.0,0.0,20.0,X,DESIGN PROJECT-AMD899,KIRAN RAMESH
2025-26,1,AML1000,1AML1000,4,3.0,1.0,0.0,AB,ENGINEERING MECHANICS-AML1000,SABYASACHI CHATTERJEE
2025-26,1,AML5000,1AML5000,3,3.0,0.0,0.0,F,SHIP RESISTANCE &AMP; PROPULSION-AML5000,KIRAN RAMESH
2025-26,1,AML5010,1AML5010,3,3.0,0.0,0.0,H,WARSHIP DESIGN-AML5010,SUBIR KUMAR SINGH
2025-26,1,AML5020,1AML5020,4,3.0,1.0,0.0,D,APPLIED SOLID MECHANICS-AML5020,S. PRADYUMNA
2025-26,1,AML5030,1AML5030,4,3.0,1.0,0.0,E,APPLIED FLUID MECHANICS-AML5030,RITABRATA THAKUR
2025-26,1,AML5040,1AML5040,3,3.0,0.0,0.0,B,SHIP DYNAMICS-AML5040,ROHIT S NAIR
2025-26,1,AML7000,1AML7000,4,3.0,0.0,2.0,A,ENGINEERING MATHEMATICS AND NUMERICAL METHODS-AML7000,PRAPANCH NAIR
2025-26,1,AML7010,1AML7010,4,3.0,0.0,2.0,B,COMPUTER AIDED ENGINEERING DESIGN-AML7010,RITWIK BANDYOPADHYAY
2025-26,1,AML7020,1AML7020,3,3.0,0.0,0.0,F,OPTIMIZATION METHODS-AML7020,BADRI PRASAD PATEL
2025-26,1,AML7030,1AML7030,3,3.0,0.0,0.0,D,THEORY OF LINEAR AND NONLINEAR ELASTIC SOLIDS-AML7030,AJEET KUMAR
2025-26,1,AML7040,1AML7040,3,3.0,0.0,0.0,E,ADVANCED FLUID MECHANICS-AML7040,ANUPAM DEWAN
2025-26,1,AML7260,1AML7260,3,3.0,0.0,0.0,X,FRACTURE MECHANICS-AML7260,GAURAV SINGH
2025-26,1,AML733,1AML733,3,3.0,0.0,0.0,X,DYNAMICS-AML733,SOUVIK CHAKRABORTY , NIKHIL WALANI
2025-26,1,AML7410,1AML7410,3,3.0,0.0,0.0,X,PHYSICS OF TURBULENT FLOWS-AML7410,GAURAV CHOPRA
2025-26,1,AML7900,1AML7900,3,3.0,0.0,0.0,H,RELIABILITY ANALYSIS AND RELIABILITY-BASED DESIGN OPTIMIZATION-AML7900,SOUVIK CHAKRABORTY
2025-26,1,AML793,1AML793,3,3.0,0.0,0.0,B,SHIP DYNAMICS-AML793,ROHIT S NAIR
2025-26,1,AML8220,1AML8220,3,3.0,0.0,0.0,J,ADVANCED FINITE ELEMENT METHOD-AML8220,SANTOSH KAPURIA
2025-26,1,AML8410,1AML8410,4,3.0,0.0,2.0,J,SPECTRAL METHODS FOR FLUID FLOW COMPUTATIONS-AML8410,ARJUN SHARMA
2025-26,1,AMN8010,1AMN8010,4,0.0,0.0,8.0,X,M.TECH. TEACHING PRACTICUM-AMN8010,ARJUN SHARMA
2025-26,1,AMN8011,1AMN8011,4,0.0,0.0,8.0,X,M.S.(R) TEACHING PRACTICUM-AMN8011,ARGHYA SAMANTA
2025-26,1,AMN8012,1AMN8012,4,0.0,0.0,8.0,X,PH.D. TEACHING PRACTICUM-AMN8012,SITIKANTHA ROY
